date,title,link
2014-03-16,bitcoins a revolution some must know myths facts about the virtual currency,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/news/economy/finance/bitcoins-a-revolution-some-must-know-myths-facts-about-the-virtual-currency/articleshow/32090482.cms
2014-03-19,it and pharmasectors broadly currency play mitesh thacker,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/markets/stocks/recos/it-and-pharmasectors-broadly-currency-play-mitesh-thacker/articleshow/32307792.cms
2014-03-19,swiss franc gains currency with indian companies,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/markets/forex/swiss-franc-gains-currency-with-indian-companies/articleshow/32258914.cms
2014-03-21,as rupee strengthens rbi gets an opportunity to boost forex reserves,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/opinion/et-editorial/as-rupee-strengthens-rbi-gets-an-opportunity-to-boost-forex-reserves/articleshow/32386262.cms
2014-03-22,indias forex reserves rises 1 8 billion in week to march 14,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/news/economy/finance/indias-forex-reserves-rises-1-8-billion-in-week-to-march-14/articleshow/32426712.cms
2014-03-28,forex reserves near 300 billion mark,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/news/economy/finance/forex-reserves-near-300-billion-mark/articleshow/32856477.cms
2014-03-31,currency trading is next big thing in india veracity financial service ltd,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/markets/forex/currency-trading-is-next-big-thing-in-india-veracity-financial-service-ltd/articleshow/33032143.cms
2014-04-01,reserve bank of india allows foreign investors to hedge currency risks,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/news/economy/finance/reserve-bank-of-india-allows-foreign-investors-to-hedge-currency-risks/articleshow/33076147.cms
2014-04-02,rbi may buy us dollars to shore up forex pile,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/markets/forex/rbi-may-buy-us-dollars-to-shore-up-forex-pile/articleshow/33099839.cms
2014-04-03,forex reserves below chinese level not comfortable raghuram rajan,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/markets/forex/forex-reserves-below-chinese-level-not-comfortable-raghuram-rajan/articleshow/33185791.cms
2014-04-03,revenues quite strong to mitigate any risk of currency volatility vivek chaand sehgal motherson sumi systems,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/opinion/interviews/revenues-quite-strong-to-mitigate-any-risk-of-currency-volatility-vivek-chaand-sehgal-motherson-sumi-systems/articleshow/33171570.cms
2014-04-03,government has tackled currency weakness proactively kunj bansal,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/markets/stocks/recos/government-has-tackled-currency-weakness-proactively-kunj-bansal/articleshow/33165475.cms
2014-04-06,fiis nri funds help forex kitty move above 300 billion,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/industry/banking/finance/fiis-nri-funds-help-forex-kitty-move-above-300-billion/articleshow/33329939.cms
2014-04-07,deutsche bank chairman paul achleitner backs anshu jain in currency manipulation probe,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/news/international/business/deutsche-bank-chairman-paul-achleitner-backs-anshu-jain-in-currency-manipulation-probe/articleshow/33391608.cms
2014-04-11,forex reserves rose 3 billion in week to april 4,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/news/economy/finance/forex-reserves-rose-3-billion-in-week-to-april-4/articleshow/33614907.cms
2014-04-11,no forex reserves large enough to ward off external shocks raghuram rajan,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/news/economy/finance/no-forex-reserves-large-enough-to-ward-off-external-shocks-raghuram-rajan/articleshow/33597196.cms
2014-04-13,forex debt raising soars touches 5 6 billion so far this year,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/markets/bonds/forex-debt-raising-soars-touches-5-6-billion-so-far-this-year/articleshow/33703391.cms
2014-04-14,five things to know about resident foreign currency account,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/industry/banking/finance/banking/five-things-to-know-about-resident-foreign-currency-account/articleshow/33657461.cms
2014-04-19,forex reserves increase by 2 8 bn,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/news/economy/finance/forex-reserves-increase-by-2-8-bn/articleshow/33923650.cms
2014-04-20,gujarat model has become a political currency montek singh ahluwalia,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/news/politics-and-nation/gujarat-model-has-become-a-political-currency-montek-singh-ahluwalia/articleshow/33997696.cms
2014-04-21,china new transit hub for pakistan operators to smuggle fake indian currency notes,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/news/economy/finance/china-new-transit-hub-for-pakistan-operators-to-smuggle-fake-indian-currency-notes/articleshow/34045204.cms
2014-04-24,coal scam ed to register money laundering forex violation case,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/news/politics-and-nation/coal-scam-ed-to-register-money-laundering-forex-violation-case/articleshow/34166433.cms
2014-04-24,lok sabha polls 2014 foreign currency worth rs 40 lakh seized in bihar,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/news/politics-and-nation/lok-sabha-polls-2014-foreign-currency-worth-rs-40-lakh-seized-in-bihar/articleshow/34148930.cms
2014-04-28,are you bitcoin savvy things you should know about the digital currency,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/tech/internet/are-you-bitcoin-savvy-things-you-should-know-about-the-digital-currency/articleshow/34238888.cms
2014-04-30,launch of rs 10 plastic currency notes delayed,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/news/economy/finance/launch-of-rs-10-plastic-currency-notes-delayed/articleshow/34388287.cms
2014-05-01,enforcement directorate records best ever performance in laundering forex probe,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/industry/banking/finance/enforcement-directorate-records-best-ever-performance-in-laundering-forex-probe/articleshow/34489260.cms
2014-05-06,competive currency must for growth in exports ajay bodke,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/markets/stocks/recos/competive-currency-must-for-growth-in-exports-ajay-bodke/articleshow/34721754.cms
2014-05-09,forex reserves surges 1 9 billion in week to may 2,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/news/economy/finance/forex-reserves-surges-1-9-billion-in-week-to-may-2/articleshow/34888011.cms
2014-05-11,fake currency how central banks like rbi normally approach the problem of counterfeits,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/news/politics-and-nation/fake-currency-how-central-banks-like-rbi-normally-approach-the-problem-of-counterfeits/articleshow/34935838.cms
2014-05-12,bharti airtel to raise funds via foreign currency bonds,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/industry/telecom/bharti-airtel-to-raise-funds-via-foreign-currency-bonds/articleshow/35030626.cms
2014-05-12,reserve bank of india bought us 7 78 billion in spot forex market in march,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/markets/forex/reserve-bank-of-india-bought-us-7-78-billion-in-spot-forex-market-in-march/articleshow/35027975.cms
2014-05-13,china achieves economic growth by printing more currency,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/news/international/business/china-achieves-economic-growth-by-printing-more-currency/articleshow/35058592.cms
2014-05-13,bharti airtel plans to sell more foreign currency bonds,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/industry/telecom/bharti-airtel-plans-to-sell-more-foreign-currency-bonds/articleshow/35045760.cms
2014-05-15,india incs forex spending rose 18 per annum since 2007,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/markets/forex/india-incs-forex-spending-rose-18-per-annum-since-2007/articleshow/35170979.cms
2014-05-20,forex gains help mrpl clock rs 1067 crore profit in march quarter,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/markets/stocks/earnings/forex-gains-help-mrpl-clock-rs-1067-crore-profit-in-march-quarter/articleshow/35390124.cms
2014-05-20,essar oil q4 profit rises fivefold on margins forex gains,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/markets/stocks/earnings/essar-oil-q4-profit-rises-fivefold-on-margins-forex-gains/articleshow/35389675.cms
2014-05-20,essar oil q4 profit rises fivefold on margins forex gains,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/markets/stocks/earnings/essar-oil-q4-profit-rises-fivefold-on-margins-forex-gains/articleshow/35385770.cms
2014-05-21,dream run is about to end for sectors like seafood exports as local currency gains,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/news/economy/foreign-trade/dream-run-is-about-to-end-for-sectors-like-seafood-exports-as-local-currency-gains/articleshow/35423868.cms
2014-05-23,forex reserves up us 1 09 billion at near us 315 billion,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/markets/forex/forex-reserves-up-us-1-09-billion-at-near-us-315-billion/articleshow/35525696.cms
2014-05-25,modi effect rupee best performing asia pacific currency,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/markets/forex/modi-effect-rupee-best-performing-asia-pacific-currency/articleshow/35592872.cms
2014-05-25,narendra modi effect forex reserves up by 11 billion since april,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/news/economy/finance/narendra-modi-effect-forex-reserves-up-by-11-billion-since-april/articleshow/35599688.cms
2014-05-26,forex reserves jump by 15 5 billion in fy 2014 rbi,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/news/economy/finance/forex-reserves-jump-by-15-5-billion-in-fy-2014-rbi/articleshow/35621057.cms
2014-05-27,rbi eases forward forex contracts norms for importers,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/news/economy/policy/rbi-eases-forward-forex-contracts-norms-for-importers/articleshow/35636140.cms
2014-05-30,indias forex reserves fall 2 3 billion in the week after narendra modi takes charge,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/news/economy/finance/indias-forex-reserves-fall-2-3-billion-in-the-week-after-narendra-modi-takes-charge/articleshow/35786822.cms
2014-05-31,adverse product mix currency movement takes sheen off jaguar land rovers earnings,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/markets/stocks/earnings/adverse-product-mix-currency-movement-takes-sheen-off-jaguar-land-rovers-earnings/articleshow/35799825.cms
2014-06-03,reserve bank of india eases norms for foreign investors in currency derivatives,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/news/economy/policy/reserve-bank-of-india-eases-norms-for-foreign-investors-in-currency-derivatives/articleshow/35992904.cms
2014-06-07,indias forex reserves fall 273 8 million to 312 billion,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/news/economy/finance/indias-forex-reserves-fall-273-8-million-to-312-billion/articleshow/36153588.cms
2014-06-11,crack down on chinese currency manipulation american senators to barack obama,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/news/international/business/crack-down-on-chinese-currency-manipulation-american-senators-to-barack-obama/articleshow/36379049.cms
2014-06-13,forex reserves rise to 312 59 billion as of june 6 rbi,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/news/economy/finance/forex-reserves-rise-to-312-59-billion-as-of-june-6-rbi/articleshow/36494376.cms
2014-06-19,opting for virtual forex cards can help in reducing risk of fraud,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/wealth/spend/opting-for-virtual-forex-cards-can-help-in-reducing-risk-of-fraud/articleshow/36785249.cms
2014-06-20,reserve bank of india eases norms for foreign investors in currency derivatives,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/news/economy/finance/reserve-bank-of-india-eases-norms-for-foreign-investors-in-currency-derivatives/articleshow/36893001.cms
2014-06-21,rbi eases norms for fpis in currency derivatives,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/industry/banking/finance/rbi-eases-norms-for-fpis-in-currency-derivatives/articleshow/36936343.cms
2014-06-29,enforcement directorate begins forex violations probe into vvip chopper deal case,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/news/politics-and-nation/enforcement-directorate-begins-forex-violations-probe-into-vvip-chopper-deal-case/articleshow/37449252.cms
2014-08-01,healthy rupee outlook keeps fiis forex hedging muted,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/markets/forex/healthy-rupee-outlook-keeps-fiis-forex-hedging-muted/articleshow/39405973.cms
2014-08-02,forex reserves at 320 564 billion very close to all time high,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/markets/forex/forex-reserves-at-320-564-billion-very-close-to-all-time-high/articleshow/39422752.cms
2014-08-03,rbi to continue increasing forex reserves cover bank of america merrill lynch,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/news/economy/finance/rbi-to-continue-increasing-forex-reserves-cover-bank-of-america-merrill-lynch/articleshow/39535187.cms
2014-08-07,slowdown forex swings hit standard chartered profit,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/industry/banking/finance/banking/slowdown-forex-swings-hit-standard-chartered-profit/articleshow/39805402.cms
2014-08-11,no one else but mahatma gandhi on currency notes raghuram rajan,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/news/economy/policy/no-one-else-but-mahatma-gandhi-on-currency-notes-raghuram-rajan/articleshow/40072225.cms
2014-08-11,rbi hopes forex reserves will cushion rupee volatility,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/markets/forex/rbi-hopes-forex-reserves-will-cushion-rupee-volatility/articleshow/40068993.cms
2014-08-14,bse to begin charging for currency derivatives trade,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/markets/stocks/news/bse-to-begin-charging-for-currency-derivatives-trade/articleshow/40260492.cms
2014-08-17,hdfc bank launches forexplus card for haj umrah pilgrims,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/industry/banking/finance/banking/hdfc-bank-launches-forexplus-card-for-haj-umrah-pilgrims/articleshow/40345815.cms
2014-08-17,national investigation agency ropes in indian statistical institute for study on fake currency notes,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/news/economy/finance/national-investigation-agency-ropes-in-indian-statistical-institute-for-study-on-fake-currency-notes/articleshow/40324425.cms
2014-08-18,forex market closed for parsi new year,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/markets/forex/forex-market-closed-for-parsi-new-year/articleshow/40356305.cms
2014-08-22,rbi reports a modest rise in forex reserves after two weeks of fall,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/news/economy/finance/rbi-reports-a-modest-rise-in-forex-reserves-after-two-weeks-of-fall/articleshow/40693322.cms
2014-08-22,rbi planning to introduce plastic currency notes next year,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/news/economy/policy/rbi-planning-to-introduce-plastic-currency-notes-next-year/articleshow/40637774.cms
2014-08-23,forex reserves inch up to 319 billion,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/markets/forex/forex-reserves-inch-up-to-319-billion/articleshow/40729029.cms
2014-08-27,non financial cos to raise 14 bn in forex debt this year moodys,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/markets/bonds/non-financial-cos-to-raise-14-bn-in-forex-debt-this-year-moodys/articleshow/41012268.cms
2014-08-29,forex reserves down 810 7 million to 318 57 billion,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/news/economy/finance/forex-reserves-down-810-7-million-to-318-57-billion/articleshow/41198069.cms
2014-08-29,foreign currency bonds by non financial companies to hit a high,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/markets/bonds/foreign-currency-bonds-by-non-financial-companies-to-hit-a-high/articleshow/41165541.cms
2014-10-03,forex reserves continue to move down fall by another 1 4 billion,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/news/economy/finance/forex-reserves-continue-to-move-down-fall-by-another-1-4-billion/articleshow/44226386.cms
2014-10-03,forex traders make hay in volatile market,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/markets/forex/forex-traders-make-hay-in-volatile-market/articleshow/44186550.cms
2014-10-08,companies leaving forex exposure without hedging rbis market interventions to blame,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/markets/forex/companies-leaving-forex-exposure-without-hedging-rbis-market-interventions-to-blame/articleshow/44647839.cms
2014-10-08,rbi asks companies not to lower their guard on hedging forex exposure,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/markets/forex/rbi-asks-companies-not-to-lower-their-guard-on-hedging-forex-exposure/articleshow/44651626.cms
2014-10-10,forex reserves fall to five month low at 311 billion,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/news/economy/finance/forex-reserves-fall-to-five-month-low-at-311-billion/articleshow/44774158.cms
2014-10-15,note for vote gaining currency amongst indian voters says study,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/news/politics-and-nation/note-for-vote-gaining-currency-amongst-indian-voters-says-study/articleshow/44824656.cms
2014-10-16,chinese currency significantly undervalued us report,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/markets/forex/chinese-currency-significantly-undervalued-us-report/articleshow/44834456.cms
2014-10-17,indias forex reserves rise after five weeks,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/news/economy/finance/indias-forex-reserves-rise-after-five-weeks/articleshow/44854415.cms
2014-10-17,nri deposits start to ebb may hurt forex reserves,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/news/economy/finance/nri-deposits-start-to-ebb-may-hurt-forex-reserves/articleshow/44842917.cms
2014-10-20,yes bank raises 422 million by dual currency loan facility,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/industry/banking/finance/banking/yes-bank-raises-422-million-by-dual-currency-loan-facility/articleshow/44888761.cms
2014-10-22,certain stock brokers can take proprietary open positions in currency pairs,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/markets/stocks/news/certain-stock-brokers-can-take-proprietary-open-positions-in-currency-pairs/articleshow/44910565.cms
2014-10-29,unearthing capital flight can add 35 billion to forex reserves bofa,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/news/economy/finance/unearthing-capital-flight-can-add-35-billion-to-forex-reserves-bofa/articleshow/44969848.cms
2014-10-31,india forex reserves up 495 5 million to 314 77 billion,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/news/economy/finance/india-forex-reserves-up-495-5-million-to-314-77-billion/articleshow/44996725.cms
2015-11-04,bob scam dri tells fiu to red flag multiple forex transactions,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/news/politics-and-nation/bob-scam-dri-tells-fiu-to-red-flag-multiple-forex-transactions/articleshow/49660058.cms
2015-11-10,donald trump wants to declare china a currency manipulator,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/news/international/business/donald-trump-wants-to-declare-china-a-currency-manipulator/articleshow/49740814.cms
